

Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
Step 451/953240 - LR:0.0016 - train_loss: 4.853
Step 461/953240 - LR:0.0017 - train_loss: 4.492
Step 471/953240 - LR:0.0016 - train_loss: 4.457
Step 481/953240 - LR:0.0017 - train_loss: 4.410
Step 491/953240 - LR:0.0016 - train_loss: 4.454
Step 501/953240 - LR:0.0017 - train_loss: 4.386
Step 511/953240 - LR:0.0016 - train_loss: 4.420
Step 521/953240 - LR:0.0017 - train_loss: 4.353
Step 531/953240 - LR:0.0016 - train_loss: 4.389
Step 541/953240 - LR:0.0017 - train_loss: 4.306
Step 551/953240 - LR:0.0016 - train_loss: 4.321
Step 561/953240 - LR:0.0017 - train_loss: 4.225
Step 571/953240 - LR:0.0016 - train_loss: 4.353
Step 581/953240 - LR:0.0016 - train_loss: 4.313
Step 591/953240 - LR:0.0016 - train_loss: 4.205
Step 601/953240 - LR:0.0016 - train_loss: 4.159
Step 611/953240 - LR:0.0016 - train_loss: 4.296
Step 621/953240 - LR:0.0016 - train_loss: 4.180
Step 631/953240 - LR:0.0016 - train_loss: 4.352
Step 641/953240 - LR:0.0017 - train_loss: 4.158
Step 651/953240 - LR:0.0016 - train_loss: 4.130
Step 661/953240 - LR:0.0017 - train_loss: 4.054
Step 671/953240 - LR:0.0016 - train_loss: 4.028
Step 681/953240 - LR:0.0017 - train_loss: 4.019
Step 691/953240 - LR:0.0016 - train_loss: 4.053
Step 701/953240 - LR:0.0017 - train_loss: 4.005
Step 711/953240 - LR:0.0016 - train_loss: 4.152
Step 721/953240 - LR:0.0017 - train_loss: 3.978
Step 731/953240 - LR:0.0016 - train_loss: 4.027
Step 741/953240 - LR:0.0017 - train_loss: 3.945
Step 751/953240 - LR:0.0016 - train_loss: 3.975
Step 761/953240 - LR:0.0017 - train_loss: 3.906
Step 771/953240 - LR:0.0016 - train_loss: 3.847
Step 781/953240 - LR:0.0016 - train_loss: 3.831
Step 791/953240 - LR:0.0016 - train_loss: 4.175
Step 801/953240 - LR:0.0017 - train_loss: 3.926
Step 811/953240 - LR:0.0016 - train_loss: 3.948
Step 821/953240 - LR:0.0017 - train_loss: 3.853
Step 831/953240 - LR:0.0016 - train_loss: 4.017
Step 841/953240 - LR:0.0017 - train_loss: 3.858
Step 851/953240 - LR:0.0016 - train_loss: 3.994
Step 861/953240 - LR:0.0017 - train_loss: 3.905
Step 871/953240 - LR:0.0016 - train_loss: 3.829
Step 881/953240 - LR:0.0017 - train_loss: 3.779
Step 891/953240 - LR:0.0016 - train_loss: 3.761
Step 901/953240 - LR:0.0017 - train_loss: 3.753
Step 911/953240 - LR:0.0016 - train_loss: 3.846
Step 921/953240 - LR:0.0017 - train_loss: 3.718
Step 931/953240 - LR:0.0016 - train_loss: 3.910
Step 941/953240 - LR:0.0017 - train_loss: 3.800
Step 951/953240 - LR:0.0016 - train_loss: 3.833
Step 961/953240 - LR:0.0017 - train_loss: 3.744
Step 971/953240 - LR:0.0016 - train_loss: 3.713
Step 981/953240 - LR:0.0017 - train_loss: 3.685
Step 991/953240 - LR:0.0016 - train_loss: 3.751
Step 1001/953240 - LR:0.0017 - train_loss: 3.655
Step 1011/953240 - LR:0.0016 - train_loss: 3.686
Step 1021/953240 - LR:0.0017 - train_loss: 3.642
Step 1031/953240 - LR:0.0016 - train_loss: 3.777
Step 1041/953240 - LR:0.0017 - train_loss: 3.674
Step 1051/953240 - LR:0.0016 - train_loss: 3.760
Step 1061/953240 - LR:0.0017 - train_loss: 3.661
Step 1071/953240 - LR:0.0016 - train_loss: 3.714
Step 1081/953240 - LR:0.0017 - train_loss: 3.624
Step 1091/953240 - LR:0.0016 - train_loss: 3.718
Step 1101/953240 - LR:0.0017 - train_loss: 3.648
Step 1111/953240 - LR:0.0016 - train_loss: 3.576
Step 1121/953240 - LR:0.0017 - train_loss: 3.554
Step 1131/953240 - LR:0.0016 - train_loss: 3.681
Step 1141/953240 - LR:0.0017 - train_loss: 3.586
Step 1151/953240 - LR:0.0016 - train_loss: 3.736
Step 1161/953240 - LR:0.0017 - train_loss: 3.609
Step 1171/953240 - LR:0.0016 - train_loss: 3.592
Step 1181/953240 - LR:0.0017 - train_loss: 3.519
Step 1191/953240 - LR:0.0016 - train_loss: 3.692
Step 1201/953240 - LR:0.0017 - train_loss: 3.561
Step 1211/953240 - LR:0.0016 - train_loss: 3.557
Step 1221/953240 - LR:0.0017 - train_loss: 3.506
Step 1231/953240 - LR:0.0016 - train_loss: 3.592
Step 1241/953240 - LR:0.0017 - train_loss: 3.479
Step 1251/953240 - LR:0.0016 - train_loss: 3.499
Step 1261/953240 - LR:0.0017 - train_loss: 3.463
Step 1271/953240 - LR:0.0016 - train_loss: 3.541
Step 1281/953240 - LR:0.0017 - train_loss: 3.444
Step 1291/953240 - LR:0.0016 - train_loss: 3.548
Step 1301/953240 - LR:0.0017 - train_loss: 3.434
Step 1311/953240 - LR:0.0016 - train_loss: 3.589
Step 1321/953240 - LR:0.0017 - train_loss: 3.444
Step 1331/953240 - LR:0.0016 - train_loss: 3.523
Step 1341/953240 - LR:0.0016 - train_loss: 3.461
Step 1351/953240 - LR:0.0016 - train_loss: 3.556
Step 1361/953240 - LR:0.0017 - train_loss: 3.476
Step 1371/953240 - LR:0.0016 - train_loss: 3.467
Step 1381/953240 - LR:0.0017 - train_loss: 3.446
Step 1391/953240 - LR:0.0016 - train_loss: 3.574
Step 1401/953240 - LR:0.0017 - train_loss: 3.430
Step 1411/953240 - LR:0.0016 - train_loss: 3.502
Step 1421/953240 - LR:0.0016 - train_loss: 3.424
Step 1431/953240 - LR:0.0016 - train_loss: 3.391
Step 1441/953240 - LR:0.0017 - train_loss: 3.303
Step 1451/953240 - LR:0.0016 - train_loss: 3.401
Step 1461/953240 - LR:0.0017 - train_loss: 3.350
Step 1471/953240 - LR:0.0016 - train_loss: 3.435
Step 1481/953240 - LR:0.0017 - train_loss: 3.357
Step 1491/953240 - LR:0.0016 - train_loss: 3.451
Step 1501/953240 - LR:0.0017 - train_loss: 3.354
Step 1511/953240 - LR:0.0016 - train_loss: 3.403
Step 1521/953240 - LR:0.0017 - train_loss: 3.352
Step 1531/953240 - LR:0.0016 - train_loss: 3.416
Step 1541/953240 - LR:0.0017 - train_loss: 3.328
Step 1551/953240 - LR:0.0016 - train_loss: 3.348
Step 1561/953240 - LR:0.0016 - train_loss: 3.307
Step 1571/953240 - LR:0.0016 - train_loss: 3.333
Step 1581/953240 - LR:0.0017 - train_loss: 3.326
Step 1591/953240 - LR:0.0016 - train_loss: 3.337
Step 1601/953240 - LR:0.0017 - train_loss: 3.271
Step 1611/953240 - LR:0.0016 - train_loss: 3.406
Step 1621/953240 - LR:0.0017 - train_loss: 3.304
Step 1631/953240 - LR:0.0016 - train_loss: 3.332
Step 1641/953240 - LR:0.0016 - train_loss: 3.265
Step 1651/953240 - LR:0.0016 - train_loss: 3.295
Step 1661/953240 - LR:0.0017 - train_loss: 3.213
Step 1671/953240 - LR:0.0016 - train_loss: 3.346
Step 1681/953240 - LR:0.0017 - train_loss: 3.246
Step 1691/953240 - LR:0.0016 - train_loss: 3.406
Step 1701/953240 - LR:0.0017 - train_loss: 3.255
Step 1711/953240 - LR:0.0016 - train_loss: 3.301
Step 1721/953240 - LR:0.0016 - train_loss: 3.226
Step 1731/953240 - LR:0.0016 - train_loss: 3.295
Step 1741/953240 - LR:0.0017 - train_loss: 3.234
Step 1751/953240 - LR:0.0016 - train_loss: 3.325
Step 1761/953240 - LR:0.0017 - train_loss: 3.229
Step 1771/953240 - LR:0.0016 - train_loss: 3.222
Step 1781/953240 - LR:0.0017 - train_loss: 3.192
Step 1791/953240 - LR:0.0016 - train_loss: 3.216
Step 1801/953240 - LR:0.0017 - train_loss: 3.169
Step 1811/953240 - LR:0.0016 - train_loss: 3.218
Step 1821/953240 - LR:0.0017 - train_loss: 3.187
Step 1831/953240 - LR:0.0016 - train_loss: 3.245
Step 1841/953240 - LR:0.0017 - train_loss: 3.208
Step 1851/953240 - LR:0.0016 - train_loss: 3.325
Step 1861/953240 - LR:0.0017 - train_loss: 3.214
Step 1871/953240 - LR:0.0016 - train_loss: 3.216
Step 1881/953240 - LR:0.0017 - train_loss: 3.123
Step 1891/953240 - LR:0.0016 - train_loss: 3.213
Step 1901/953240 - LR:0.0017 - train_loss: 3.134
Step 1911/953240 - LR:0.0016 - train_loss: 3.133
Step 1921/953240 - LR:0.0017 - train_loss: 3.133
Step 1931/953240 - LR:0.0016 - train_loss: 3.153
Step 1941/953240 - LR:0.0016 - train_loss: 3.134
Step 1951/953240 - LR:0.0016 - train_loss: 3.173
Step 1961/953240 - LR:0.0017 - train_loss: 3.141
Step 1971/953240 - LR:0.0016 - train_loss: 3.160
Step 1981/953240 - LR:0.0017 - train_loss: 3.158
Step 1991/953240 - LR:0.0016 - train_loss: 3.133
Step 2001/953240 - LR:0.0017 - train_loss: 3.109
Step 2011/953240 - LR:0.0016 - train_loss: 3.121
Step 2021/953240 - LR:0.0016 - train_loss: 3.079
Step 2031/953240 - LR:0.0016 - train_loss: 3.140
Step 2041/953240 - LR:0.0017 - train_loss: 3.105
Step 2051/953240 - LR:0.0016 - train_loss: 3.193
Step 2061/953240 - LR:0.0017 - train_loss: 3.071
Step 2071/953240 - LR:0.0016 - train_loss: 3.141
Step 2081/953240 - LR:0.0017 - train_loss: 3.078
Step 2091/953240 - LR:0.0016 - train_loss: 3.142
Step 2101/953240 - LR:0.0017 - train_loss: 3.070
Step 2111/953240 - LR:0.0016 - train_loss: 3.057
Step 2121/953240 - LR:0.0017 - train_loss: 3.044
Step 2131/953240 - LR:0.0016 - train_loss: 3.058
Step 2141/953240 - LR:0.0017 - train_loss: 3.006
Step 2151/953240 - LR:0.0016 - train_loss: 3.086
Step 2161/953240 - LR:0.0017 - train_loss: 3.001
Step 2171/953240 - LR:0.0016 - train_loss: 3.094
Step 2181/953240 - LR:0.0017 - train_loss: 3.055
Step 2191/953240 - LR:0.0016 - train_loss: 3.112
Step 2201/953240 - LR:0.0017 - train_loss: 3.020
Step 2211/953240 - LR:0.0016 - train_loss: 3.060
Step 2221/953240 - LR:0.0017 - train_loss: 3.006
Step 2231/953240 - LR:0.0016 - train_loss: 3.075
Step 2241/953240 - LR:0.0017 - train_loss: 3.002
Step 2251/953240 - LR:0.0016 - train_loss: 3.040
Step 2261/953240 - LR:0.0017 - train_loss: 2.986
Step 2271/953240 - LR:0.0016 - train_loss: 3.032
Step 2281/953240 - LR:0.0017 - train_loss: 2.991
Step 2291/953240 - LR:0.0016 - train_loss: 3.051
Step 2301/953240 - LR:0.0017 - train_loss: 2.979
Step 2311/953240 - LR:0.0016 - train_loss: 3.021
Step 2321/953240 - LR:0.0016 - train_loss: 2.976
Step 2331/953240 - LR:0.0016 - train_loss: 3.014
Step 2341/953240 - LR:0.0017 - train_loss: 2.962
Step 2351/953240 - LR:0.0016 - train_loss: 3.030
Step 2361/953240 - LR:0.0017 - train_loss: 2.975
Step 2371/953240 - LR:0.0016 - train_loss: 3.014
Step 2381/953240 - LR:0.0017 - train_loss: 2.919
Step 2391/953240 - LR:0.0016 - train_loss: 3.035
Step 2401/953240 - LR:0.0017 - train_loss: 2.943
Step 2411/953240 - LR:0.0016 - train_loss: 3.008
Step 2421/953240 - LR:0.0017 - train_loss: 2.907
Step 2431/953240 - LR:0.0016 - train_loss: 2.986
Step 2441/953240 - LR:0.0017 - train_loss: 2.921
Step 2451/953240 - LR:0.0016 - train_loss: 2.973
Step 2461/953240 - LR:0.0017 - train_loss: 2.917
Step 2471/953240 - LR:0.0016 - train_loss: 2.974
Step 2481/953240 - LR:0.0017 - train_loss: 2.921
Step 2491/953240 - LR:0.0016 - train_loss: 2.956
Step 2501/953240 - LR:0.0017 - train_loss: 2.882
Step 2511/953240 - LR:0.0016 - train_loss: 2.950
Step 2521/953240 - LR:0.0017 - train_loss: 2.917
Step 2531/953240 - LR:0.0016 - train_loss: 2.973
Step 2541/953240 - LR:0.0017 - train_loss: 2.896
Step 2551/953240 - LR:0.0016 - train_loss: 2.946
Step 2561/953240 - LR:0.0017 - train_loss: 2.889
Step 2571/953240 - LR:0.0016 - train_loss: 2.916
Step 2581/953240 - LR:0.0017 - train_loss: 2.863
Step 2591/953240 - LR:0.0016 - train_loss: 2.941
Step 2601/953240 - LR:0.0017 - train_loss: 2.861
Step 2611/953240 - LR:0.0016 - train_loss: 2.905
Step 2621/953240 - LR:0.0017 - train_loss: 2.851
Step 2631/953240 - LR:0.0016 - train_loss: 2.933
Step 2641/953240 - LR:0.0017 - train_loss: 2.869
Step 2651/953240 - LR:0.0016 - train_loss: 2.922
Step 2661/953240 - LR:0.0017 - train_loss: 2.821
Step 2671/953240 - LR:0.0016 - train_loss: 2.955
Step 2681/953240 - LR:0.0017 - train_loss: 2.854
Step 2691/953240 - LR:0.0016 - train_loss: 2.968
Step 2701/953240 - LR:0.0017 - train_loss: 2.832
Step 2711/953240 - LR:0.0016 - train_loss: 2.876
Step 2721/953240 - LR:0.0017 - train_loss: 2.813
Step 2731/953240 - LR:0.0016 - train_loss: 2.852
Step 2741/953240 - LR:0.0017 - train_loss: 2.809
Step 2751/953240 - LR:0.0016 - train_loss: 2.870
Step 2761/953240 - LR:0.0017 - train_loss: 2.817
Step 2771/953240 - LR:0.0016 - train_loss: 2.858
Step 2781/953240 - LR:0.0017 - train_loss: 2.821
Step 2791/953240 - LR:0.0016 - train_loss: 2.819
Step 2801/953240 - LR:0.0017 - train_loss: 2.804
Step 2811/953240 - LR:0.0016 - train_loss: 2.859
Step 2821/953240 - LR:0.0016 - train_loss: 2.773
Step 2831/953240 - LR:0.0016 - train_loss: 2.838
Step 2841/953240 - LR:0.0017 - train_loss: 2.788
Step 2851/953240 - LR:0.0016 - train_loss: 2.823
Step 2861/953240 - LR:0.0017 - train_loss: 2.800
Step 2871/953240 - LR:0.0016 - train_loss: 2.825
Step 2881/953240 - LR:0.0017 - train_loss: 2.769
Step 2891/953240 - LR:0.0016 - train_loss: 2.789
Step 2901/953240 - LR:0.0017 - train_loss: 2.746
Step 2911/953240 - LR:0.0016 - train_loss: 2.812
Step 2921/953240 - LR:0.0017 - train_loss: 2.778
Step 2931/953240 - LR:0.0016 - train_loss: 2.775
Step 2941/953240 - LR:0.0017 - train_loss: 2.759
Step 2951/953240 - LR:0.0016 - train_loss: 2.809
Step 2961/953240 - LR:0.0017 - train_loss: 2.779
Step 2971/953240 - LR:0.0016 - train_loss: 2.803
Step 2981/953240 - LR:0.0016 - train_loss: 2.747
Step 2991/953240 - LR:0.0016 - train_loss: 2.829
Step 3001/953240 - LR:0.0017 - train_loss: 2.734
Step 3011/953240 - LR:0.0016 - train_loss: 2.748
Step 3021/953240 - LR:0.0017 - train_loss: 2.721
Step 3031/953240 - LR:0.0016 - train_loss: 2.782
Step 3041/953240 - LR:0.0017 - train_loss: 2.726
Step 3051/953240 - LR:0.0016 - train_loss: 2.787
Step 3061/953240 - LR:0.0017 - train_loss: 2.733
Step 3071/953240 - LR:0.0016 - train_loss: 2.789
Step 3081/953240 - LR:0.0017 - train_loss: 2.700
Step 3091/953240 - LR:0.0016 - train_loss: 2.782
Step 3101/953240 - LR:0.0017 - train_loss: 2.730
Step 3111/953240 - LR:0.0016 - train_loss: 2.785
Step 3121/953240 - LR:0.0017 - train_loss: 2.684
Step 3131/953240 - LR:0.0016 - train_loss: 2.747
Step 3141/953240 - LR:0.0017 - train_loss: 2.676
Step 3151/953240 - LR:0.0016 - train_loss: 2.717
Step 3161/953240 - LR:0.0017 - train_loss: 2.684
Step 3171/953240 - LR:0.0016 - train_loss: 2.730
Step 3181/953240 - LR:0.0017 - train_loss: 2.685
Step 3191/953240 - LR:0.0016 - train_loss: 2.712
Step 3201/953240 - LR:0.0016 - train_loss: 2.668
Step 3211/953240 - LR:0.0016 - train_loss: 2.690
Step 3221/953240 - LR:0.0017 - train_loss: 2.646
Step 3231/953240 - LR:0.0016 - train_loss: 2.667
Step 3241/953240 - LR:0.0017 - train_loss: 2.629
Step 3251/953240 - LR:0.0016 - train_loss: 2.690
Step 3261/953240 - LR:0.0017 - train_loss: 2.659
Step 3271/953240 - LR:0.0016 - train_loss: 2.724
Step 3281/953240 - LR:0.0017 - train_loss: 2.618
Step 3291/953240 - LR:0.0016 - train_loss: 2.673
Step 3301/953240 - LR:0.0017 - train_loss: 2.644
Step 3311/953240 - LR:0.0016 - train_loss: 2.698
Step 3321/953240 - LR:0.0017 - train_loss: 2.640
Step 3331/953240 - LR:0.0016 - train_loss: 2.671
Step 3341/953240 - LR:0.0017 - train_loss: 2.630
Step 3351/953240 - LR:0.0016 - train_loss: 2.677
Step 3361/953240 - LR:0.0016 - train_loss: 2.637
Step 3371/953240 - LR:0.0016 - train_loss: 2.652
Step 3381/953240 - LR:0.0017 - train_loss: 2.594
Step 3391/953240 - LR:0.0016 - train_loss: 2.682
Step 3401/953240 - LR:0.0017 - train_loss: 2.567
Step 3411/953240 - LR:0.0016 - train_loss: 2.651
Step 3421/953240 - LR:0.0017 - train_loss: 2.588
Step 3431/953240 - LR:0.0016 - train_loss: 2.606
Step 3441/953240 - LR:0.0017 - train_loss: 2.626
Step 3451/953240 - LR:0.0016 - train_loss: 2.647
Step 3461/953240 - LR:0.0017 - train_loss: 2.614
Step 3471/953240 - LR:0.0016 - train_loss: 2.649
Step 3481/953240 - LR:0.0017 - train_loss: 2.545
Step 3491/953240 - LR:0.0016 - train_loss: 2.632
Step 3501/953240 - LR:0.0017 - train_loss: 2.593
Step 3511/953240 - LR:0.0016 - train_loss: 2.599
Step 3521/953240 - LR:0.0017 - train_loss: 2.600
Step 3531/953240 - LR:0.0016 - train_loss: 2.570
Step 3541/953240 - LR:0.0017 - train_loss: 2.548
Step 3551/953240 - LR:0.0016 - train_loss: 2.632
Step 3561/953240 - LR:0.0017 - train_loss: 2.553
Step 3571/953240 - LR:0.0016 - train_loss: 2.642
Step 3581/953240 - LR:0.0016 - train_loss: 2.527
Step 3591/953240 - LR:0.0016 - train_loss: 2.594
Step 3601/953240 - LR:0.0017 - train_loss: 2.557
Step 3611/953240 - LR:0.0016 - train_loss: 2.606
Step 3621/953240 - LR:0.0017 - train_loss: 2.560
Step 3631/953240 - LR:0.0016 - train_loss: 2.622
Step 3641/953240 - LR:0.0017 - train_loss: 2.533
Step 3651/953240 - LR:0.0016 - train_loss: 2.614
Step 3661/953240 - LR:0.0017 - train_loss: 2.528
Step 3671/953240 - LR:0.0016 - train_loss: 2.602
Step 3681/953240 - LR:0.0017 - train_loss: 2.541
Step 3691/953240 - LR:0.0016 - train_loss: 2.540
Step 3701/953240 - LR:0.0017 - train_loss: 2.510
Step 3711/953240 - LR:0.0016 - train_loss: 2.525
Step 3721/953240 - LR:0.0017 - train_loss: 2.520
Step 3731/953240 - LR:0.0016 - train_loss: 2.531
Step 3741/953240 - LR:0.0017 - train_loss: 2.515
Step 3751/953240 - LR:0.0016 - train_loss: 2.598
Step 3761/953240 - LR:0.0017 - train_loss: 2.480
Step 3771/953240 - LR:0.0016 - train_loss: 2.485
Step 3781/953240 - LR:0.0017 - train_loss: 2.505
Step 3791/953240 - LR:0.0016 - train_loss: 2.549
Step 3801/953240 - LR:0.0017 - train_loss: 2.483
Step 3811/953240 - LR:0.0016 - train_loss: 2.556
Step 3821/953240 - LR:0.0017 - train_loss: 2.517
Step 3831/953240 - LR:0.0016 - train_loss: 2.565
Step 3841/953240 - LR:0.0017 - train_loss: 2.504
Step 3851/953240 - LR:0.0016 - train_loss: 2.501
Step 3861/953240 - LR:0.0017 - train_loss: 2.469
Step 3871/953240 - LR:0.0016 - train_loss: 2.497
Step 3881/953240 - LR:0.0017 - train_loss: 2.452
Step 3891/953240 - LR:0.0016 - train_loss: 2.511
Step 3901/953240 - LR:0.0017 - train_loss: 2.434
Step 3911/953240 - LR:0.0016 - train_loss: 2.499
Step 3921/953240 - LR:0.0017 - train_loss: 2.438
Step 3931/953240 - LR:0.0016 - train_loss: 2.523
Step 3941/953240 - LR:0.0017 - train_loss: 2.443
Step 3951/953240 - LR:0.0016 - train_loss: 2.514
Step 3961/953240 - LR:0.0016 - train_loss: 2.445
Step 3971/953240 - LR:0.0016 - train_loss: 2.492
Step 3981/953240 - LR:0.0017 - train_loss: 2.442
Step 3991/953240 - LR:0.0016 - train_loss: 2.474
Step 4001/953240 - LR:0.0017 - train_loss: 2.439
Step 4011/953240 - LR:0.0016 - train_loss: 2.492
Step 4021/953240 - LR:0.0017 - train_loss: 2.429
Step 4031/953240 - LR:0.0016 - train_loss: 2.484
Step 4041/953240 - LR:0.0017 - train_loss: 2.432
Step 4051/953240 - LR:0.0016 - train_loss: 2.453
Step 4061/953240 - LR:0.0017 - train_loss: 2.418
Step 4071/953240 - LR:0.0016 - train_loss: 2.453
Step 4081/953240 - LR:0.0017 - train_loss: 2.465
Step 4091/953240 - LR:0.0016 - train_loss: 2.467
Step 4101/953240 - LR:0.0017 - train_loss: 2.413
Step 4111/953240 - LR:0.0016 - train_loss: 2.424
Step 4121/953240 - LR:0.0017 - train_loss: 2.429
Step 4131/953240 - LR:0.0016 - train_loss: 2.485
Step 4141/953240 - LR:0.0017 - train_loss: 2.408
Step 4151/953240 - LR:0.0016 - train_loss: 2.440
Step 4161/953240 - LR:0.0017 - train_loss: 2.387
Step 4171/953240 - LR:0.0016 - train_loss: 2.436
Step 4181/953240 - LR:0.0017 - train_loss: 2.337
Step 4191/953240 - LR:0.0016 - train_loss: 2.404
Step 4201/953240 - LR:0.0017 - train_loss: 2.392
Step 4211/953240 - LR:0.0016 - train_loss: 2.420
Step 4221/953240 - LR:0.0017 - train_loss: 2.402
Step 4231/953240 - LR:0.0016 - train_loss: 2.440
Step 4241/953240 - LR:0.0017 - train_loss: 2.392
Step 4251/953240 - LR:0.0016 - train_loss: 2.429
Step 4261/953240 - LR:0.0017 - train_loss: 2.391
Step 4271/953240 - LR:0.0016 - train_loss: 2.429
Step 4281/953240 - LR:0.0017 - train_loss: 2.366
Step 4291/953240 - LR:0.0016 - train_loss: 2.434
Step 4301/953240 - LR:0.0017 - train_loss: 2.398
Step 4311/953240 - LR:0.0016 - train_loss: 2.359
Step 4321/953240 - LR:0.0017 - train_loss: 2.345
Step 4331/953240 - LR:0.0016 - train_loss: 2.415
Step 4341/953240 - LR:0.0017 - train_loss: 2.383
Step 4351/953240 - LR:0.0016 - train_loss: 2.400
Step 4361/953240 - LR:0.0017 - train_loss: 2.387
Step 4371/953240 - LR:0.0016 - train_loss: 2.406
Step 4381/953240 - LR:0.0017 - train_loss: 2.355
Step 4391/953240 - LR:0.0016 - train_loss: 2.374
Step 4401/953240 - LR:0.0017 - train_loss: 2.358
Step 4411/953240 - LR:0.0016 - train_loss: 2.386
Step 4421/953240 - LR:0.0017 - train_loss: 2.315
Step 4431/953240 - LR:0.0016 - train_loss: 2.337
Step 4441/953240 - LR:0.0017 - train_loss: 2.336
Step 4451/953240 - LR:0.0016 - train_loss: 2.359
Step 4461/953240 - LR:0.0017 - train_loss: 2.336
Step 4471/953240 - LR:0.0016 - train_loss: 2.382
Step 4481/953240 - LR:0.0017 - train_loss: 2.371
Step 4491/953240 - LR:0.0016 - train_loss: 2.385
Step 4501/953240 - LR:0.0017 - train_loss: 2.333
Step 4511/953240 - LR:0.0016 - train_loss: 2.348
Step 4521/953240 - LR:0.0017 - train_loss: 2.352
Step 4531/953240 - LR:0.0016 - train_loss: 2.373
Step 4541/953240 - LR:0.0017 - train_loss: 2.320
Step 4551/953240 - LR:0.0016 - train_loss: 2.340
Step 4561/953240 - LR:0.0017 - train_loss: 2.310
Step 4571/953240 - LR:0.0016 - train_loss: 2.360
Step 4581/953240 - LR:0.0017 - train_loss: 2.339
Step 4591/953240 - LR:0.0016 - train_loss: 2.361
Step 4601/953240 - LR:0.0017 - train_loss: 2.300
Step 4611/953240 - LR:0.0016 - train_loss: 2.350
Step 4621/953240 - LR:0.0017 - train_loss: 2.334
Step 4631/953240 - LR:0.0016 - train_loss: 2.347
Step 4641/953240 - LR:0.0017 - train_loss: 2.289
Step 4651/953240 - LR:0.0016 - train_loss: 2.321
Step 4661/953240 - LR:0.0017 - train_loss: 2.285
Step 4671/953240 - LR:0.0016 - train_loss: 2.340
Step 4681/953240 - LR:0.0017 - train_loss: 2.297
Step 4691/953240 - LR:0.0016 - train_loss: 2.327
Step 4701/953240 - LR:0.0017 - train_loss: 2.253
Step 4711/953240 - LR:0.0016 - train_loss: 2.350
Step 4721/953240 - LR:0.0017 - train_loss: 2.313
Step 4731/953240 - LR:0.0016 - train_loss: 2.309
Step 4741/953240 - LR:0.0017 - train_loss: 2.285
